Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,DCF,0,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,4097433552957510200,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8289078470576211386
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,DCF,30,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,8973503642251044448,3,48.76561963,49.059636780000005,0.6720493947279331,48.58470016,49.82859055,1.2438903900000042,22.68515706,15167967824807414386
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,DCF,60,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,8132899750145070855,3,60.68388993,60.370739996666664,0.994515879419029,59.25733972,61.17099034,1.9136506200000056,20.89741651,1831300268555900035
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,DCF,120,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,10455380725152883637,3,73.87287411,74.12510109666665,1.1467629617614588,73.12544754,75.37698164,2.2515341000000006,18.91906888,14615115361624732361
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,DCF,240,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,3249913649156960858,3,82.2331982,82.24230976666666,1.7639476495591777,80.48293555,84.01079555,3.527860000000004,17.66502027,17532704394185576884
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,DCF,480,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,2892051548520492425,3,81.93930885,82.16626352333334,1.2202759735897664,81.07539783,83.48408389,2.4086860599999937,17.70910367,15623530893936147813
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,DCF,720,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,13926868731529471070,3,82.83055081,83.00977375666666,0.48377474881491084,82.6411851,83.55758536,0.9164002600000032,17.57541738,10930103189113536160
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,DCF,960,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,6280546985017538186,3,82.6411851,82.7065448,0.41886197270712455,82.32420485,83.15424445,0.8300395999999921,17.60382223,6383588644189169924
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,DCF,1440,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,14802185984964681562,15,77.22438452,79.99822686533334,10.272856265847588,69.45804224,109.0937645,39.63572226000001,18.41634232,6201870339659061428
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,IBU,0,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,18031951279925841496,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,9118276425417417370
